the <0> following <0> week <3> the <0> same <0> policeman <0> sees <0> the <0> same <0> man <0> with <0> the <0> tiger <0> again,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
until <0> the <0> fox <0> thought <0> highly <0> of <0> the <0> crow's <0> beautiful <0> voice <0> the <0> crow <0> felt <0> quite <0> proud <1> and <0> finally <0> opened <0> his <0> mouth <0> to <0> sing,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
one <0> day <3> a <0> crow <0> stood <3> on <0> a <0> branch <2> near <0> his <0> nest <3> and <0> felt <0> very <0> happy <0> with <0> the <3> meat <2> in <1> his <2> mouth,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
our <0> class <0> is <0> going <0> to <0> put <0> on <1> a <0> show <0> on <0> may <0> seventh,0 3 0 3 0 3 0 3 0 3 0 2 0 2 0 2 0 2 0 3 0 3 0
his <0> wife <0> says <3> no <0> problem <3> but <0> i <0> have <0> to <0> find <0> all <0> the <0> money <0> you <0> have <0> hidden <0> from <0> me,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
cinderella <2> danced <0> so <0> joyfully <1> that <0> she <0> forgot <0> the <0> time,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
they <0> made <1> a <0> choice <1> and <0> went <0> out <0> in <0> search <0> of <0> food,0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 2 0 3 0 3 0
until <0> the <0> fox <0> thought <0> highly <2> of <0> the <0> crow's <0> beautiful <0> voice <3> the <0> crow <0> felt <0> quite <0> proud <0> and <2> finally <1> opened <0> his <0> mouth <2> to <0> sing,0 3 0 3 0 3 0 3 0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
plenty <0> of <1> complicated <0> thoughts <0> about <0> the <0> rainbow <0> have <0> been <0> formed,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
now <0> can <0> you <0> give <0> me <0> a <0> few <0> words <2> to <0> describe <0> the <0> body <0> shape <1> of <0> this <0> girl,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 2 0 3 0 3 0 2 0 2 0 2 0 3 0 3 0
one <0> day <0> a <0> crow <0> stood <1> on <0> a <0> branch <0> near <0> his <1> nest <2> and <0> felt <0> very <0> happy <0> with <0> the <0> meat <1> in <0> his <0> mouth,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
one <0> day <1> a <0> crow <0> stood <1> on <0> a <0> branch <1> near <0> his <0> nest <3> and <0> felt <0> very <0> happy <2> with <0> the <0> meat <1> in <0> his <0> mouth,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
the <0> following <0> week <2> the <0> same <0> policeman <0> sees <0> the <0> same <0> man <1> with <1> the <0> tiger <0> again,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 2 0 3 0 3 0
but <0> the <0> mouse <0> finally <0> got <1> out <3> of <0> her <1> mouth <2> and <0> ran <1> away <0> since <2> she <0> could <0> not <0> bite <0> it,0 3 0 3 0 3 0 3 0 3 0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
our <0> class <1> is <0> going <0> to <0> put <0> on <0> a <0> show <0> on <0> may <0> seventh,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 2 0 3 0
the <0> following <0> week <2> the <0> same <0> policeman <0> sees <0> the <0> same <0> man <0> with <0> the <0> tiger <0> again,0 3 0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
the <0> following <0> week <2> the <0> same <0> policeman <0> sees <0> the <0> same <0> man <0> with <0> the <0> tiger <0> again,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
they <0> made <1> a <0> choice <3> and <0> went <1> out <1> in <0> search <1> of <1> food,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
the <0> following <0> week <3> the <0> same <0> policeman <0> sees <0> the <0> same <0> man <1> with <0> the <0> tiger <1> again,0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0
until <1> the <0> fox <3> thought <0> highly <3> of <3> the <0> crow's <0> beautiful <0> voice <1> the <0> crow <0> felt <1> quite <3> proud <1> and <0> finally <0> opened <3> his <0> mouth <0> to <3> sing,0 3 0 3 0 2 0 3 0 2 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 1 0 3 0 3 0 3 0 2 0 3 0 3 0 2 0
